Athlete_ID,Age,Gender,Sport_Type,Exercise_Type,Duration_Minutes,Intensity_Level,Heart_Rate,Calories_Consumed,Protein_g,Carbs_g,Fats_g,Sleep_Hours,Hydration_Level,Fatigue_Score,Injury_History,Recovery_Time_Days,Speed_Score,Endurance_Score,Strength_Score
3686,38,Female,Tennis,Endurance,71,High,86,3795,192,486,94,6.6,Moderate,3,,0,18.39,8.23,9.98
7710,32,Female,Football,Strength,68,Low,108,3646,52,139,57,4.8,High,4,Severe,36,17.35,2.2,4.55
2772,38,Female,Basketball,Cardio,113,Medium,71,3139,107,278,42,4.4,Low,5,Severe,23,13.6,8.04,2.85
7801,23,Male,Football,Strength,107,High,138,3659,117,237,82,4.8,High,3,Minor,37,13.08,6.21,2.24
7419,23,Female,Basketball,Cardio,60,Low,152,3119,95,145,29,4.5,High,7,,0,18.92,1.91,3.45
3154,38,Female,Tennis,Cardio,43,Medium,167,1996,178,127,41,4.7,Low,6,Minor,22,14.46,2.05,7.59
991,21,Female,Running,Endurance,62,Medium,109,3616,135,297,81,6.0,Moderate,9,,0,8.65,6.42,3.33
8579,24,Female,Football,Cardio,96,High,101,2876,66,157,22,8.0,Moderate,1,,0,17.63,3.57,8.54
6937,27,Female,Tennis,Strength,101,High,74,3412,176,386,30,5.8,High,6,Severe,76,9.22,6.29,7.33
763,34,Male,Basketball,Cardio,63,Medium,152,1622,124,336,99,7.9,Low,4,,0,7.74,3.39,3.39
4426,34,Female,Football,Strength,116,Medium,91,3653,78,309,37,8.3,High,1,,0,5.2,6.08,9.68
4569,39,Male,Hockey,Strength,46,Low,97,2446,102,405,73,7.6,Low,8,Minor,43,19.56,9.28,9.23
8693,22,Female,Football,Strength,42,Medium,90,3421,61,209,24,6.7,High,9,,0,15.03,3.85,5.49
9320,33,Female,Basketball,Strength,41,Low,163,1640,96,106,85,8.3,Moderate,8,Moderate,80,13.65,8.05,3.08
6565,31,Female,Running,Endurance,36,Low,60,1784,119,367,54,8.8,Moderate,8,,0,14.99,3.1,4.44
9944,38,Female,Basketball,Cardio,47,Low,143,1516,171,109,97,9.0,Moderate,2,Minor,16,11.65,4.98,1.22
1000,26,Male,Football,Cardio,81,Low,143,3310,196,376,63,5.4,Low,1,Minor,77,19.96,9.9,3.45
549,34,Female,Wrestling,Strength,34,Low,88,2215,61,300,58,8.5,Moderate,9,Minor,80,12.24,1.59,6.86
4451,28,Female,Cricket,Cardio,78,High,113,2207,161,256,32,4.7,Moderate,4,Minor,23,14.5,3.17,4.43
7940,21,Male,Boxing,Strength,58,High,169,2636,104,296,88,8.6,High,5,Severe,37,19.18,1.06,7.58
2650,22,Female,Wrestling,Strength,78,Low,143,2185,120,491,83,5.8,High,7,Severe,33,11.75,3.68,7.26
3608,24,Female,Football,Cardio,43,High,157,1741,179,437,99,6.0,Moderate,7,Minor,80,14.82,4.89,2.71
7639,21,Female,Running,Strength,119,High,113,3253,160,202,44,8.3,Moderate,8,,0,6.09,6.56,9.7
8298,34,Female,Wrestling,Endurance,77,Medium,162,1882,128,397,88,10.0,Low,5,Minor,55,18.25,8.35,9.64
8167,31,Female,Basketball,Endurance,91,Medium,77,2966,102,404,87,6.3,High,9,Minor,29,17.53,2.02,9.14
3913,38,Male,Wrestling,Cardio,82,Low,133,2706,189,367,29,6.5,Moderate,3,,0,8.36,5.03,9.17
3134,32,Male,Football,Endurance,115,Low,143,3191,131,321,95,9.2,High,4,,0,13.1,3.18,1.78
1875,35,Male,Boxing,Endurance,88,High,91,2256,121,372,45,4.2,High,7,,0,18.23,5.85,6.96
683,36,Female,Tennis,Endurance,76,High,176,3447,86,163,56,9.8,High,8,Minor,61,18.46,8.63,1.2
4171,19,Male,Volleyball,Cardio,87,High,70,1949,115,264,54,6.2,Moderate,2,,0,12.11,2.73,7.5
572,24,Male,Football,Cardio,82,Low,148,3877,174,496,67,5.6,Low,6,Moderate,77,18.48,8.64,1.1
4299,24,Male,Basketball,Endurance,103,Medium,92,3246,121,347,73,6.9,High,5,,0,19.73,3.39,9.9
7612,25,Female,Football,Cardio,33,Low,167,3740,106,387,29,8.1,Moderate,5,,0,15.14,1.11,6.61
8171,27,Male,Basketball,Strength,80,High,128,3188,61,199,65,7.2,Low,7,,0,16.15,9.66,6.12
9301,20,Male,Volleyball,Strength,59,Low,123,1693,129,370,73,6.2,Low,4,,0,19.32,6.41,1.74
5417,34,Female,Running,Strength,87,Low,172,3541,124,325,79,4.4,Low,6,,0,16.38,3.11,1.76
9218,23,Male,Running,Strength,105,Low,102,3746,113,111,58,6.6,High,2,,0,13.44,8.77,3.68
437,35,Female,Basketball,Strength,41,Medium,132,3415,70,371,21,4.7,Moderate,2,,0,11.6,3.9,4.9
6524,21,Female,Basketball,Endurance,49,Medium,129,1676,191,263,54,5.0,Low,1,,0,6.15,9.19,3.6
7209,34,Female,Cricket,Endurance,72,Low,140,2204,132,355,58,8.1,High,5,Moderate,63,12.3,5.6,7.88
9137,22,Male,Basketball,Strength,75,High,168,2415,103,137,38,8.0,Moderate,7,,0,8.77,6.89,4.24
53,23,Female,Football,Strength,85,Low,99,2264,105,114,77,6.5,High,4,Moderate,72,15.88,9.81,5.45
6078,28,Male,Volleyball,Strength,49,Medium,140,2573,81,353,42,7.8,Low,6,Moderate,26,10.97,3.41,5.18
2449,39,Male,Basketball,Endurance,100,Low,67,1889,68,408,34,8.1,High,6,,0,11.35,1.53,1.83
2587,25,Female,Baseball,Cardio,81,Medium,66,2720,115,468,94,6.2,Moderate,8,,0,15.05,1.18,4.52
60,18,Male,Running,Endurance,39,Medium,142,1884,133,269,57,9.6,Low,5,,0,15.71,3.05,7.19
7931,21,Female,Basketball,Endurance,53,Low,117,1576,61,479,62,9.5,High,5,,0,13.04,7.9,6.7
5665,34,Male,Basketball,Endurance,60,High,151,1623,156,259,93,4.3,Moderate,7,Minor,51,5.94,5.1,3.65
2822,19,Male,Running,Endurance,65,Medium,121,1583,123,474,71,6.1,Low,3,,0,18.92,9.34,8.56
3708,29,Male,Running,Strength,107,Medium,89,3038,69,429,73,8.7,Low,1,,0,6.68,8.89,6.37
